source	name	metadata	method	ingredients	cooklang
data/bronze/bonmot/chicken-au-wolf.cook.source	chicken-au-wolf.cook		Start the water for the pasta..Sautee mushrooms and a little garlic and red chilli in the butter on low heat for a few minutes; add half of the shallots part way through..Brown chicken and some garlic in butter..Once chicken is almost done, add white wine.Boil off most of the wine, add the second part of the shallots, chilli, black pepper and a lot of tarragon, and MSG if you like..Begin cooking the pasta..When the wine is almost all evaporated, add the cooked mushrooms and a little veggie stock. Reduce and add single cream, more tarragon and the rest of the shallots/garlic..Cook until thickened..Serve on a bed of pasta	some  chicken breast,some  brown mushrooms,some  shallots/onions,some  pasta,some  garlic,some  red chilli,some  butter,some  white wine,some  black pepper,some  tarragon,some  MSG,some  veggie stock,some  single cream	"Dice @chicken breast{} into large or small chunks, finely chop @brown mushrooms{} and @shallots/onions{}. Divide shallots/onions into three.

Start the water for the @pasta{}.

Sautee mushrooms and a little @garlic{} and @red chilli{} in the @butter{} on low heat for a few minutes; add half of the shallots part way through.

Brown chicken and some garlic in butter.

Once chicken is almost done, add @white wine{}
Boil off most of the wine, add the second part of the shallots, chilli, @black pepper{} and a lot of @tarragon{}, and @MSG{} if you like.

Begin cooking the pasta.

When the wine is almost all evaporated, add the cooked mushrooms and a little @veggie stock{}. Reduce and add @single cream{}, more tarragon and the rest of the shallots/garlic.

Cook until thickened.

Serve on a bed of pasta."
data/bronze/bonmot/Ployes_250g.cook.source	Ployes_250g.cook		smokin' hot, do not grease.Dissolve baking soda in the ice water, pour right into your buckwheat starter and mix well. It will immediately rise some..The consistency is important. It should be runnier than pancake batter; add water by the teaspoon or flour by the tablespoon if you need to thin or thicken..Use the . to give the batter a stir before scooping, and pour about ¼ c spoonfuls onto the griddle.Cook just until the top is no longer wet and the bottom is light brown. Do not flip over or move around on the pan. The cakes should come free of the pan when they’re done..Place on a rack to cool, move them once after a couple minutes so they don't stick	1/8 tsp  baking soda,1/2 c  ice water,250 g  buckwheat starter	"Get the #griddle/skillet{} smokin' hot, do not grease
Dissolve @baking soda{1/8 tsp} in the @ice water{1/2 c}, pour right into your @buckwheat starter{250 g} and mix well. It will immediately rise some.
The consistency is important. It should be runnier than pancake batter; add water by the teaspoon or flour by the tablespoon if you need to thin or thicken.
Use the #ladle{} to give the batter a stir before scooping, and pour about ¼ c spoonfuls onto the griddle
Cook just until the top is no longer wet and the bottom is light brown. Do not flip over or move around on the pan. The cakes should come free of the pan when they’re done.
Place on a rack to cool, move them once after a couple minutes so they don't stick."
data/bronze/bonmot/prudhommes-bbq-sauce-greg.cook.source	prudhommes-bbq-sauce-greg.cook		bowl and set aside. .Fry bacon in a . over high heat until crisp. .Stir  in the onions, cover pan, and continue cooking until dark brown but not burned, about	1/2 lb, minced  bacon,1 1/2 c chopped  onions,2 c  pork, beef or chicken stock,11/2 c  chili sauce,1 c  honey,3/4 c, chopped  dry roasted pecans,5 tb  orange juice,2 ts  lemon juice,0.5  orange Rind and pulp,0.25  lemon rind and pulp,2 tb, minced  garlic,1 ts  tabasco sauce,4 tb  butter	"Combine the seasoning mix ingredients in a #small bowl{} and set aside. 
Fry @bacon{1/2 lb, minced} in a #saucepan{2 qt} over high heat until crisp. 
Stir  in the @onions{1 1/2 c chopped}, cover pan, and continue cooking until dark brown but not burned, about ~{8 to 10 min}, stirring occasionally. 
Stir in the seasoning mix and cook about ~{1 min}. 
Add the @pork, beef or chicken stock{2 c}, @chili sauce{11/2 c}, @honey{1 c}, @dry roasted pecans{3/4 c, chopped}, @orange juice{5 tb}, @lemon juice{2 ts}, @orange Rind and pulp{1/2} and @lemon rind and pulp{1/4}, @garlic{2 tb, minced} and @tabasco sauce{1 ts}, stirring well. 
Reduce heat to low contine cooking ~{about 10 min}. stirring frequently. 
Remove orange and lemon rinds. 
Continue cooking and stirring ~{about 15 more min} to let flavors marry. 
Add the @butter{  4 tb} and stir until melted, remove from heat and let cool ~{about 30 min} 
Pour into #food processor{} and  process until pecans and bacon are finely chopped."
data/bronze/bonmot/garlic-scape-soup.cook.source	garlic-scape-soup.cook		over medium-high heat, melt butter and add flour, stir .While the roux cooks, finely chop garlic scapes e.g. in the . Having them of uneven consistency is totally fine. You can swish out the Cuisinart bowl with the milk..Remove from the heat, add the chopped scapes and stir while you add the milk so the roux dissolves and doesn't go lumpy. Return to the heat..Add protein, see note and cheese, any kind, and bring to a boil. You can swish out the Cuisinart bowl with the soup stock..Add soup stock and vegetables, bring to the boil again..Turn off heat, season with pepper, a few drops of hot sauce (Tabasco or Cock Sauce) if you want, and serve	2 tbl  butter,1 tbl  flour,8, about 140g  garlic scapes,1 c  milk,100g, cubed  protein, see note,150 g, cubed  cheese, any kind,11/2 c  soup stock,1/2 c  vegetables,some  hot sauce	"First you make a roux: in a #saucepan{} over medium-high heat, melt @butter{2 tbl} and add @flour{1 tbl}, stir ~{until the flour just begins to turn golden}.
While the roux cooks, finely chop @garlic scapes{8, about 140g} e.g. in the #Cuisinart{}. Having them of uneven consistency is totally fine. You can swish out the Cuisinart bowl with the milk.
Remove from the heat, add the chopped scapes and stir while you add the @milk{1 c} so the roux dissolves and doesn't go lumpy. Return to the heat.
Add @protein, see note{100g, cubed} and @cheese, any kind{150 g, cubed}, and bring to a boil. You can swish out the Cuisinart bowl with the soup stock.
Add @soup stock{11/2 c} and @vegetables{1/2 c}, bring to the boil again.
Turn off heat, season with pepper, a few drops of @hot sauce{} (Tabasco or Cock Sauce) if you want, and serve."
data/bronze/bonmot/sourdough-crumpets.cook.source	sourdough-crumpets.cook		and get it medium hot..Butter the inside of the . rings, put them on the skillet, and put the lid on.  It should all be hot before you mix..In the small mixing bowl add: foamy un-fed starter, baking POWDER, baking SODA, sugar / splenda, cold milk..Mix with the tiny rubber scraper as quickly as you can - have it thoroughly mixed in just a few seconds. .Divide equally between the three rings. Do not move the rings..Cover & cook for	100g / 1/2 c  foamy un-fed starter,1/4 tsp  baking POWDER,1/8 tsp  baking SODA,1 tsp  sugar / splenda,1 tbl  cold milk	"Butter the #skillet{} and get it medium hot.
Butter the inside of the #crumpet rings{3}, put them on the skillet, and put the lid on.  It should all be hot before you mix.

In the small mixing bowl add: @foamy un-fed starter{100g / 1/2 c}, @baking POWDER{1/4 tsp}, @baking SODA{1/8 tsp}, @sugar / splenda{1 tsp}, @cold milk{1 tbl}.
Mix with the tiny rubber scraper as quickly as you can - have it thoroughly mixed in just a few seconds. 
Divide equally between the three rings. Do not move the rings.
Cover & cook for ~{3-4 minutes} until the top is no longer wet. 
Run a knife around the rings and remove them, leaving the crumpets in the pan.
Flip over and cook for ~{one minute less} than the first side."
data/bronze/bonmot/stock.cook.source	stock.cook		pot 3/4 full with a carcasse..Add bay leaf fragments, unpeeled carrot, onion and peppercorns. .Cover with water. .Put lid on and set on pressure, 1 hour.  Allow pressure to drop by itself..Arrange the . colander in a . bowl and pour the contents into it.Put the colander back on the instant pot's pot and pour the stock back through the carcasse etc. Now you have the carcasse, onion & carrot in the colander and the stock in the pot.Let carcasse cool until you can handle it. Remove the remaining meat from the carcasse.  Cartilage & skin goes to feed the dog; tiny chunks of meat go into a soup, sandwiches etc.  Bones, gooey carrot and onion go into the compost	1 leaf worth  bay leaf fragments,1  carrot,1  onion,1/2 tsp  peppercorns	"Stuff #instant pot{} 3/4 full with a carcasse.
Add @bay leaf fragments{1 leaf worth}, unpeeled @carrot{1}, @onion{1} and @peppercorns{1/2 tsp}. 
Cover with water. 
Put lid on and set on pressure, 1 hour.  Allow pressure to drop by itself.
Arrange the #giant colander{} in a #giant bowl{} and pour the contents into it
Put the colander back on the instant pot's pot and pour the stock back through the carcasse etc. Now you have the carcasse, onion & carrot in the colander and the stock in the pot
Let carcasse cool until you can handle it. Remove the remaining meat from the carcasse.  Cartilage & skin goes to feed the dog; tiny chunks of meat go into a soup, sandwiches etc.  Bones, gooey carrot and onion go into the compost."
data/bronze/bonmot/buns-keto-almond-flour.cook.source	buns-keto-almond-flour.cook		Mix the dry ingredients (ground psyllium husk powder, almond flour, baking powder, sea salt) in a . bowl..Bring the water to a boil..Whisk the cider vinegar into the egg whites, add to the dry ingredients, and combine well. .Add boiling water while beating with a wooden spoon or hand mixer for about	⅓ cup (1¾ oz.)  ground psyllium husk powder,1¼ cups (5 oz.)  almond flour,2 tsp  baking powder,1 tsp  sea salt,1 cup  water,2 tsp  cider vinegar,3  egg whites,some  olive oil,some  sesame seeds	"Preheat the oven to 350°F (175°C)
Mix the dry ingredients (@ground psyllium husk powder{⅓ cup (1¾ oz.)}, @almond flour{1¼ cups (5 oz.)}, @baking powder{2 tsp}, @sea salt{1 tsp}) in a #large bowl{}.
Bring the @water{1 cup} to a boil.
Whisk the @cider vinegar{2 tsp} into the @egg whites{3}, add to the dry ingredients, and combine well. 
Add boiling water while beating with a wooden spoon or hand mixer for about ~{30 seconds}. Don't overmix the dough, the consistency should resemble Play-Doh.
Moisten hands with a little @olive oil{} and shape dough into 6 separate rolls. 
Place on a greased #baking sheet{}. 
Top with optional @sesame seeds{}.
Bake on lower rack in the oven for ~{50-60 minutes} (yes, almost an hour), depending on the size of the rolls. They're done when you hear a hollow sound when tapping the bottom of the bun"
data/bronze/bonmot/thai-coconut-soup-tom-kha-gai.cook.source	thai-coconut-soup-tom-kha-gai.cook		pot, heat the coconut oil over medium heat. .Pound the lemongrass with a knife and cut into 2-inch-long pieces. Slice the onion, thinly slice the garlic. Slice mushrooms..Add the onion, garlic, red jalapeno  or chile, galangal/ginger, lemongrass, and red Thai curry paste and cook, stirring frequently, for	1 tbl  coconut oil,1 stalk  lemongrass,half  onion,2 cloves  garlic,8 oz  mushrooms,0.5  red jalapeno,3 1/4 slices  galangal/ginger,2 tsp  red Thai curry paste,4 c  chicken broth,4 c  coconut cream or milk,2 medium  chicken breast (or tofu or shrimp),11/2 - 2tbl  fish sauce,1-2 tbl  coconut aminos (or coconut sugar),2-3 tbl  lime juice,2-3  green onions,garnish  fresh cilantro	"In a #medium pot{}, heat the @coconut oil{1 tbl} over medium heat. 
Pound the @lemongrass{1 stalk} with a knife and cut into 2-inch-long pieces. Slice the @onion{half}, thinly slice the @garlic{2 cloves}. Slice @mushrooms{8 oz}.
Add the onion, garlic, @red jalapeno{1/2}  or chile, @galangal/ginger{3 1/4 slices}, lemongrass, and @red Thai curry paste{2 tsp} and cook, stirring frequently, for ~{5 minutes}, or until onions are softened. Add @chicken broth{4 c} and bring to a boil. Reduce heat and simmer uncovered for ~{30 minutes}.
Strain out the aromatics (the garlic, onions, lemongrass, and ginger) and discard. Add in @coconut cream or milk{4 c}, @chicken breast (or tofu or shrimp){2 medium}, and mushrooms.  Simmer until chicken breast pieces are just cooked through, then add @fish sauce{11/2 - 2tbl}, @coconut aminos (or coconut sugar){1-2 tbl}, and @lime juice{2-3 tbl}, plus more of each to taste. 
Sauté aromatics then add chicken stock and simmer
Cook ~{2 minutes}, then ladle into serving bowls and top with sliced @green onions{2-3} and @fresh cilantro{garnish}."
data/bronze/bonmot/vegetable-curry.cook.source	vegetable-curry.cook		"Fryer for 6 minutes - should still be crunchy. Dump into the . pot..Peel carrots, cut in half lengthwise, cut into 11/2"" chunks. Microwave or cook any other way until soft but not mushy. Dump into the pot..Start rice or pasta - start the rice or start heating the water for the pasta..Wash the mushrooms and cut into halves or thirds (roughly the size of the carrot chunks) and put in the air fryer with the butter for about"	6  multicolored bell peppers,2  carrots,some  rice or pasta,1 lb  mushrooms,1 tbl  butter,250ml  cream,1 medium  red onion,4 cloves  garlic,1/2 c  chicken stock (or Oxo),5 pods  cardomom,1/2 tsp  cumin,1 tsp  chili pepper flakes,3 tbl  maple syrup,3 tbl  curry powder,some  hot sauce,11/2 c  bok choy or bottom of romaine,8 oz fresh or frozen  spinach,1 can  bamboo shoot root	"Cut @multicolored bell peppers{6} into 11/2"" chunks and put in the #Air Fryer{} for 6 minutes - should still be crunchy. Dump into the #big pot{}.
Peel @carrots{2}, cut in half lengthwise, cut into 11/2"" chunks. Microwave or cook any other way until soft but not mushy. Dump into the pot.
Start @rice or pasta{} - start the rice or start heating the water for the pasta.
Wash the @mushrooms{1 lb} and cut into halves or thirds (roughly the size of the carrot chunks) and put in the air fryer with the @butter{1 tbl} for about ~{10 minutes} - until they are starting to brown. Dump into the pot.
Add @cream{250ml} to the pot. Turn its heat on low.
Peel & cut up the @red onion{1 medium} into eighths and put in the Air Fryer for ~{12 minutes}.  Set another timer for ~{8 minutes}.
Start cooking the pasta.
Peel & slice the @garlic{4 cloves} and add to the air fryer at the alarm so the onion gets 12 minutes, garlic gets 4.
Rinse out air fryer with @chicken stock (or Oxo){1/2 c} and pour into pot.
Grind up @cardomom{5 pods} and add it, @cumin{1/2 tsp}, the @chili pepper flakes{1 tsp}, @maple syrup{3 tbl}, and @curry powder{3 tbl} to the pot. 
Add @hot sauce{} - 1 tbl for mild, 2 or 3 for medium, hot and gently stir.
Cut up @bok choy or bottom of romaine{11/2 c} and add it and the @spinach{8 oz fresh or frozen} to the pot.
Cut up @bamboo shoot root{1 can} into chunks if they're not already cut (it was cut to what looks like spaghetti in this pic)
Heat through until it *just* boils, stirring occasionally."
data/bronze/bonmot/cauliflower_wings.cook.source	cauliflower_wings.cook		baking tray with . paper..In a mixing bowl combine the flour, milk, mixed dried herbs, and big pinches of salt and pepper with 5 tbl water. Whisk until fully combined into a batter..Next, add the breadcrumbs and vegetable oil to a . mixing bowl and use your hands to combine (make sure you remove any clumps)..Pull the leaves off the cauliflower, srim the stalk, cut it into bite-sized florets and use your hands to tear apart any big pieces..Add the cauliflower chunks to the batter and use a spoon to toss and mix. Once the florets are fully coated, toss into the breadcrumbs one at a time, then place on the lined baking tray..Bake the florets for	3 oz  flour,5 tbl  milk,2 tsp  mixed dried herbs,some  salt and pepper,1 c  breadcrumbs,1 tsp  vegetable oil,18 oz  cauliflower,1 tbl  hot sauce,3/4 c  BBQ sauce,some  sesame seeds,0.5  spring onion	"Preheat the oven to 400°F and line a #large baking tray{} with #parchment paper{}.
In a mixing bowl combine the @flour{3 oz}, @milk{5 tbl}, @mixed dried herbs{2 tsp}, and big pinches of @salt and pepper{} with 5 tbl water. Whisk until fully combined into a batter.
Next, add the @breadcrumbs{1 c} and @vegetable oil{1 tsp} to a #medium-sized mixing bowl{} and use your hands to combine (make sure you remove any clumps).
Pull the leaves off the @cauliflower{18 oz}, srim the stalk, cut it into bite-sized florets and use your hands to tear apart any big pieces.
Add the cauliflower chunks to the batter and use a spoon to toss and mix. Once the florets are fully coated, toss into the breadcrumbs one at a time, then place on the lined baking tray.
Bake the florets for ~25 minutes{}.
Make the BBQ hot sauce: add the @hot sauce{1 tbl} and @BBQ sauce{3/4 c} to a #saucepan or a wok{} on low heat. Stir and cook for 2-3 minutes until the sauce is hot.
Preheat a #thick bowl{} so the wings will stay hot after serving.
Once the cauliflower has finished baking, add the wings to the saucepan with the hot sauce and stir through until the florets are fully coated.
Transfer the hot wings to the bowl and top with a sprinkling of @sesame seeds{}. To finish, finely slice the @spring onion{1/2} and sprinkle on top. 
Serve with the dressings."
data/bronze/bonmot/hollandaise-sauce.cook.source	hollandaise-sauce.cook		in e.g. a microwave-safe . measuring cup..While it's heating up, beat egg yolks until smooth..Slowly drizzle melted butter into the egg yolk mixture while whisking. This exact thing is important..Return mixture to the measuring cup. It may set up immediately.  If not, .Microwave for	1/4 c  butter,2 tbl  lemon juice,pinch  salt	"Bring @butter{1/4 c}, @lemon juice{2 tbl}, @salt{pinch} and cayenne pepper{1/4 tsp} just to the boil in the #microwave{} in e.g. a microwave-safe #2-cup measuring cup{}.
While it's heating up, beat @egg yolks{2} until smooth.
Slowly drizzle melted butter into the egg yolk mixture while whisking. This exact thing is important.
Return mixture to the measuring cup. It may set up immediately.  If not, 
Microwave for ~{10 seconds} and #whisk{}. Repeat until it firms up."
data/bronze/bonmot/eggs-benedict.cook.source	eggs-benedict.cook		pot to the 3/4 point with water, add a couple tablespoons of vinegar or lemon juice, and bring to the boil. Set it aside, covered with a towel to stay warm..Fry the ham in butter until it has a few brown patches..If you're serving sausages fry them at this point too..Set the ham / sausage . pan on the big pot of hot water, under the towel to keep warm..Split & toast the english muffins - with a fork or on the . toaster. Put in the ham pan under the towel..Boil the butter, water, vinegar or lemon juice, salt, and cayenne in a . saucepan..While it's coming to the boil, separate 3 eggs; beat the yolks in a . bowl with a fork. You don't need the whites..Continuing to beat the yolks, slowly pour boiling mixture into the bowl. It's important that the boiling mixture is added to the yolks. Put the Hollandaise back in the small saucepan, but not on the heat..Put the big hot water pot back on the burner and bring back to a boil..The hollandaise may have set up just from adding the boiling mixture. If it didn't, put its pan on top of the boiling water pan and stir for a minute or two until it thickens..Add 2 eggs per person to the big pot. Put the ham & muffins pan on top, and the hollandaise pan on top of that so it all stays warm as the eggs poach..Now assemble, two on each plate: english muffin half, spoonful of Hollandaise, slice of ham, poached egg, top with more Hollandaise, dust with black pepper, cayenne, or paprika	2 slices per person  ham,some  butter,some  sausages,1 per person  english muffins,1/2 cup  butter,1 tbl  water,1 tbl  vinegar or lemon juice,1/4 tsp  salt,pinch  cayenne,2 per person + 3  eggs,some  black pepper	"Fill the #big pot{} to the 3/4 point with water, add a couple tablespoons of vinegar or lemon juice, and bring to the boil. Set it aside, covered with a towel to stay warm.
Fry the @ham{2 slices per person} in @butter{} until it has a few brown patches.
If you're serving @sausages{} fry them at this point too.
Set the ham / sausage #frying pan{} on the big pot of hot water, under the towel to keep warm.
Split & toast the @english muffins{1 per person} - with a fork or on the #camp toaster{}. Put in the ham pan under the towel.
Boil the @butter{1/2 cup}, @water{1 tbl}, @vinegar or lemon juice{1 tbl}, @salt{1/4 tsp}, and @cayenne{pinch} in a #small saucepan{}.
While it's coming to the boil, separate 3 eggs; beat the yolks in a #small bowl{} with a fork. You don't need the whites.
Continuing to beat the yolks, slowly pour boiling mixture into the bowl. It's important that the boiling mixture is added to the yolks. Put the Hollandaise back in the small saucepan, but not on the heat.
Put the big hot water pot back on the burner and bring back to a boil.
The hollandaise may have set up just from adding the boiling mixture. If it didn't, put its pan on top of the boiling water pan and stir for a minute or two until it thickens.
Add 2 @eggs{2 per person + 3} per person to the big pot. Put the ham & muffins pan on top, and the hollandaise pan on top of that so it all stays warm as the eggs poach.
Now assemble, two on each plate: english muffin half, spoonful of Hollandaise, slice of ham, poached egg, top with more Hollandaise, dust with @black pepper{}, cayenne, or paprika."
data/bronze/bonmot/walnut-crunch.cook.source	walnut-crunch.cook		in a . pan, cook with walnuts, chopped until brown. Set aside to cool..Part B: Using the . whip, whip whole eggs (large) and white sugar until pale and thickened. Should take .Part C: Add buttermilk and vanilla flavouring to the eggs and sugar mixture. Stir to combine well..Change out the mixer whip for the paddle. Add: Part A and all purpose flour, cocoa powder, baking powder, salt, dry instant coffee grounds, crushed. Mix to a semi stiff dough for about	30g  butter,90 g walnuts, chopped,2  whole eggs (large),150 g white sugar,0.25 cup buttermilk,1 tsp vanilla flavouring,180 g all purpose flour,42 g cocoa powder,1 tsp baking powder,0.5 tsp salt,0.333 tsp dry instant coffee grounds, crushed,15.5 cups icing sugar,0.25 cup boiling water,2 tsp corn syrup,pinch  salt	"Part A: Melt @butter{30g} on the #stove{} in a #small pan{}, cook with @walnuts, chopped{90%g} until brown. Set aside to cool.
Part B: Using the #Kitchenaid{} whip, whip @whole eggs (large){2} and @white sugar{150%g} until pale and thickened. Should take ~{2-3 minutes}.
Part C: Add @buttermilk{1/4%cup} and @vanilla flavouring{1%tsp} to the eggs and sugar mixture. Stir to combine well.
Change out the mixer whip for the paddle. Add: Part A and @all purpose flour{180%g}, @cocoa powder{42%g}, @baking powder{1%tsp}, @salt{1/2%tsp}, @dry instant coffee grounds, crushed{1/3%tsp}. Mix to a semi stiff dough for about ~{20 seconds} on medium speed.
If the dough appears a bit soft on the bottom, use a #plastic scraper{} to fold it while still in the bowl. Then turn out onto a flour surface on the counter top. Knead about 6 times using a little more flour if necessary. Remember that the more flour you use, the more dry the donut will become.
Set the kneaded dough on a #plate{} in the #fridge{} for about ~{20 minutes}. It will be soft and slightly sticky.
While dough is setting in the fridge, make the glaze. Use the paddle in the mixer add the @icing sugar{31/2%cups}. In a separate container, blend the @boiling water{1/4%cup}, @corn syrup{2%tsp}, @salt{pinch} and another 1/2 tsp of vanilla together then add to the icing sugar. Stir slowly. Add more hot water to suit the thickness of glaze you want. When making glaze, less is better when adding extra water. So once you have the walnut crunch ready to dip in glaze, do a test and if the glaze is too thick, blend in a wee bit more hot water.
Prepare the dough. Either cut them evenly and pre-shape individually, or roll out to a rectangular shape on a floured surface countertop. I generally like the individual pieces to be 5-6 inches long and 2 inches wide. Sometimes I like to make 12, sometimes 16 from a batch.
Cut out the shapes. Pick up each one and brush off the excess flour, I use a #natural bristle BBQ brush{}. Then set the pieces aside to sit while you prep the fryer. This sitting time will allow the baking power to work some.
Plug in your #fryer{} to bring it up to temperature. Our fryer maxes out at 374ºF on the dial. The true temp is likely 350º to 360º. Usually takes about ~{15 minutes} to warm up. The oil I use is generally canola oil, sometimes its vegetable oil. Sometimes it’s a mix of both. You will want some means to flip the donuts, I use two forks. And you will want some means to extract the donuts from the hot oil, I use the #basket{} that comes with the fryer.
Fry for ~{1 min 15 seconds} per side. You may have to adjust that frying time depending on your method. It definitely should not take any longer than ~{1 min 30 seconds} per side.
As soon as those 3 or 4 donuts come out of the fryer, dip them in glaze and set them on a rack for cooling."
data/bronze/bonmot/swedish-creme.cook.source	swedish-creme.cook		Heat and dissolve sugar/equivalent, milk or light cream, and gelatin. Do not boil. .Cool 5 minutes..Beat in sour cream  and vanilla. .Chill at least 3 hours	⅔ cup  sugar/equivalent,1 pint  milk or light cream,1 envelope  gelatin,1 pint  sour cream,1 tsp  vanilla	"The 2-pint quantities makes a thick cream; use half those to make something that will set up in a jelly mold.
Heat and dissolve @sugar/equivalent{⅔ cup}, @milk or light cream{1 pint}, and @gelatin{1 envelope}. Do not boil. 
Cool 5 minutes.
Beat in @sour cream{1 pint}  and @vanilla{1 tsp}. 
Chill at least 3 hours."
data/bronze/bonmot/pineapple-meatballs.cook.source	pineapple-meatballs.cook		Add those, meatballs, BBQ sauce, soy sauce, brown sugar, apple cider vinegar to . Pot..Select Slow Cooker for 3 hours, give or take	1 tbl  ginger,3 cloves  garlic,10 oz can  pineapple,2  bell peppers,1 lb  meatballs,1 c  BBQ sauce,1/4 c  soy sauce,1/4 c  brown sugar,2 tbl  apple cider vinegar	"Grate @ginger{1 tbl}, mince @garlic{3 cloves}, chop up @pineapple{10 oz can} and @bell peppers{2} into 1"" squares
Add those, @meatballs{1 lb}, @BBQ sauce{1 c}, @soy sauce{1/4 c}, @brown sugar{1/4 c}, @apple cider vinegar{2 tbl} to #Instant Pot{}.
Select Slow Cooker for 3 hours, give or take.."
data/bronze/bonmot/fricot.cook.source	fricot.cook		cover with water, burner on high..Dice celery, add; peel & slice carrots, add; slice onions, add..Bringing it to a boil and reduce heat to medium for a gentle simmer. Simmer for about	1 whole or parts  chicken,1 head  celery,2 lbs  carrots,4-5  onions,6 medium size  potatoes,1 tsp  herbes sal&eacute;es,1/4 tsp  pepper,2 tsp  summer savory	"-- >>servings: 6 
-- >>source: https://www.themediterraneandish.com/easy-tomato-gazpacho-recipe/
-- >>note: first made 2023-06-25


Put @chicken{1 whole or parts} in the #pot{5-quart stock} cover with water, burner on high.
Dice @celery{1 head}, add; peel & slice @carrots{2 lbs}, add; slice @onions{4-5}, add.
Bringing it to a boil and reduce heat to medium for a gentle simmer. Simmer for about ~{30 minutes}
Check if the meat is thoroughly cooked, ready to fall off the bones. When it is:
Remove the chicken from the pot and set it aside in a #bowl{} ~{until it cools down} enough to handle.
While the chicken cools, peel and cube the @potatoes{6 medium size} and add to the pot.
Season the soup with @herbes sal&eacute;es{1 tsp}, @pepper{1/4 tsp}, and @summer savory{2 tsp}.
Once the chicken has cooled, separate the meat and add it back to the pot.
The potatoes will cook in about ~{10 minutes}."
data/bronze/bonmot/hodge-podge.cook.source	hodge-podge.cook		or stew pot, fry onions	some  onions,some  butter,some  new potatoes,some  carrots,some  peas,some  green beans,some  salt,some  pepper	"Depending on how much you're making, in a #saucepan or stew pot{}, fry @onions{} ~{until soft} in a bit of @butter{}. 
Use @new potatoes{}; scrub well but do not peel. Use whole if tiny, otherwise cut in half.
Add potatoes and just enough water to cover and boil for ~{five minutes}.
Add @carrots{}, boil another ~{five minutes}.
Add @peas{} for another ~{3-5 minutes}- taste & watch.  
Add @green beans{} for another ~{2-3 minues}.
Drain, and save water, set veggies aside, put the water back in the pot.
Boil down cooking water until it's about half. 
Add cream & boil until it thickens. 
Add veggies back in & heat through. Add @salt{} and freshly ground @pepper{} to taste, and maybe a knob of butter."
data/bronze/bonmot/Sufganiyot.cook.source	Sufganiyot.cook		"bowl and let sit until foamy, .Meanwhile sift together into a . bowl, combine the flour, icing sugar, salt, and nutmeg. .Add the egg yolks, oil, and vanilla extract to the water/yeast mixture and whisk with a fork until combined..Add the liquid mixture to the flour mixture and stir until the dough comes together. It should be a bit sticky. Cover the bowl with plastic wrap (no need to clean it first) and let the dough rise in a warm place until doubled in size, .Line a baking sheet with a few layers of paper towels. Generously dust a clean countertop and your hands with flour. .Scrape the dough out of the bowl onto the counter and dust the dough with flour..Roll out the dough about 1/2"" thick and cut with a . cookie cutter or glass, place the rounds the floured countertop.  .Gather the remaining dough into a ball, knead a couple of times, rest"	1 c  warm water,1 tbl  yeast,3 c  flour,1/4c + more  icing sugar,3/4 tsp  salt,1/2 tsp  nutmeg,2  egg yolks,2 tbl  oil,1 tsp  vanilla extract,1/2 pint  jam or jelly	"Combine the @warm water{1 c} and @yeast{1 tbl} in a #small bowl{} and let sit until foamy, ~{about 5 minutes}.
Meanwhile sift together into a #large bowl{}, combine the @flour{3 c}, @icing sugar{1/4c + more}, @salt{3/4 tsp}, and @nutmeg{1/2 tsp}. 
Add the @egg yolks{2}, @oil{2 tbl}, and @vanilla extract{1 tsp} to the water/yeast mixture and whisk with a fork until combined.
Add the liquid mixture to the flour mixture and stir until the dough comes together. It should be a bit sticky. Cover the bowl with plastic wrap (no need to clean it first) and let the dough rise in a warm place until doubled in size, ~{about 1 hour}.
Line a baking sheet with a few layers of paper towels. Generously dust a clean countertop and your hands with flour. 
Scrape the dough out of the bowl onto the counter and dust the dough with flour.
Roll out the dough about 1/2"" thick and cut with a #23/4"" cookie cutter or glass{}, place the rounds the floured countertop.  
Gather the remaining dough into a ball, knead a couple of times, rest ~{a couple of minutes}, and repeat until it's gone.
The dough will rise while you're heating the oil - ~{a few minutes}.
Heat #deep fryer or pot{} to medium heat - 325-350&deg;.  If you don't have a candy/deep-fry thermometer, drop a 1-in cube of bread in the oil; if it takes about 1 minute to get golden brown, the oil is at the right temperature.
Place 6 dough pieces in the oil and fry until golden brown, ~{about 3 minutes}, flipping halfway through frying. Using a slotted spoon, transfer the donuts to the paper towel-lined baking sheet. Repeat with the remaining donuts.
Prepare a #piping bag{} or heavy plastic bag with 1/4"" of the corner cut off with 1/2 cup of the jelly at a time. This is going to be messy.
When the donuts are cool enough to handle, use a paring knife to puncture the side of each to form a pocket in the center.  Squeeze 1 to 2 teaspoons of @jam or jelly{1/2 pint} inside. 
Using a fine sieve, dust the donuts generously with confectioners’ sugar, use the piping bag to place another dot on top. Serve warm."
